Source Url,permID,ALIU Index,Last Name,First Name,First Name Last Name,permID,Name Variants
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX75,"Bauer, Max",Bauer,Max,Max Bauer,ALIUINDEX75,"Max Bauer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX76,"Bauer, Michael",Bauer,Michael,Michael Bauer,ALIUINDEX76,"Michael Bauer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX77,"Bauer, Rose",Bauer,Rose,Rose Bauer,ALIUINDEX77,"Rose Bauer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX78,"Bauer, Walter",Bauer,Walter,Walter Bauer,ALIUINDEX78,"Walter Bauer,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX79,"Baumann, Col.",Baumann,Col.,Col. Baumann,ALIUINDEX79,"Col. Baumann,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX80,"Baumeler, Josef",Baumeler,Josef,Josef Baumeler,ALIUINDEX80,"Josef Baumeler,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX81,"Baumgarten, Paul",Baumgarten,Paul,Paul Baumgarten,ALIUINDEX81,"Paul Baumgarten,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX82,Baumhoff,Baumhoff,,Baumhoff,ALIUINDEX82," Baumhoff,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX83,"Bayle, Marc",Bayle,Marc,Marc Bayle,ALIUINDEX83,"Marc Bayle,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX84,"Bazanger, Lucien",Bazanger,Lucien,Lucien Bazanger,ALIUINDEX84,"Lucien Bazanger,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX85,Bazin,Bazin,,Bazin,ALIUINDEX85,"Bazin,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX86,Beauvais,Beauvais,,Beauvais,ALIUINDEX86,"Beauvais,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX87,"Beaux-Arts, Galerie des",Beaux-Arts,Galerie des,Galerie des Beaux-Arts,ALIUINDEX87,"Galerie des Beaux-Arts,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX88,"Becker, Captain",Becker,Captain,Captain Becker,ALIUINDEX88,"Captain Becker,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX89,"Becker, Josef Robert",Becker,Josef Robert,Josef Robert Becker,ALIUINDEX89,"Josef Robert Becker,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX90,"Becker, Joseph",Becker,Joseph,Joseph Becker,ALIUINDEX90,"Joseph Becker,,,"
https://www.archives.gov/research/holocaust/art/oss-art-looting-investigation-name-index.html#a,ALIUINDEX91,"Beets, Dr.",Beets,Dr.,Dr. Beets,ALIUINDEX91,"Dr. Beets,Beets,,"
